pais,anio,prop_pct
Argentina,1970,0.246849705629954
Argentina,1971,0.21507562442691702
Argentina,1972,0.224886455651382
Argentina,1973,0.295091334044785
Argentina,1974,0.29018841238530296
Argentina,1975,0.193271351207628
Argentina,1976,0.171907064539513
Argentina,1977,0.228684108413828
Argentina,1978,0.26724118378427103
Argentina,1979,0.248110269684177
Argentina,1980,0.268848282447706
Argentina,1981,0.282447246772992
Argentina,1982,0.286789359564832
Argentina,1983,0.239996418302089
Argentina,1984,0.245129602274234
Argentina,1985,0.274037745325896
Argentina,1986,0.199072065962827
Argentina,1987,0.169314952014851
Argentina,1988,0.20935199399038698
Argentina,1989,0.230007786323981
Argentina,1990,0.249026370221008
Argentina,1991,0.222427592888771
Argentina,1992,0.19021484549870002
Argentina,1993,0.216698623913844
Argentina,1994,0.236268136144269
Argentina,1995,0.278824467941367
Argentina,1996,0.267382012762054
Argentina,1997,0.299703666945067
Argentina,1998,0.30702320391875
Argentina,1999,0.249107904634263
Argentina,2000,0.24776358649413002
Argentina,2001,0.258497161242759
Argentina,2002,0.24182195021080302
Argentina,2003,0.24013064514755803
Argentina,2004,0.24113185227210301
Argentina,2005,0.255997117709233
Argentina,2006,0.270424119858877
Argentina,2007,0.277571623344689
Argentina,2008,0.306028541997769
Argentina,2009,0.297730982672039
Argentina,2010,0.29467231495656904
Argentina,2011,0.298937554235992
Argentina,2012,0.284693015280196
Argentina,2013,0.25819017316192
Argentina,2014,0.225689225346438
Argentina,2015,0.20032800913795198
Argentina,2016,0.19833269336101297
Argentina,2017,0.188040649265079
Argentina,2018,0.178240515792548
Argentina,2019,0.171950105187087
Argentina,2020,0.151095217949814
Argentina,2021,0.175205068622997
Argentina,2022,0.186835920262486
Argentina,2023,0.15881454780721202
Corea del Sur,1970,0.272252406514026
Corea del Sur,1971,0.31177028454668
Corea del Sur,1972,0.42359309108304605
Corea del Sur,1973,0.620374936214138
Corea del Sur,1974,0.646239095926149
Corea del Sur,1975,0.652061339561577
Corea del Sur,1976,1.03992209633519
Corea del Sur,1977,1.09563593092627
Corea del Sur,1978,1.26461124426154
Corea del Sur,1979,1.23112478153208
Corea del Sur,1980,1.2154138089914401
Corea del Sur,1981,1.51836966560945
Corea del Sur,1982,1.6179794648758201
Corea del Sur,1983,1.74827489959045
Corea del Sur,1984,1.9218751838072101
Corea del Sur,1985,1.9213514879051201
Corea del Sur,1986,2.0129631843973104
Corea del Sur,1987,2.32143754124484
Corea del Sur,1988,2.5818101198803602
Corea del Sur,1989,2.48377241227301
Corea del Sur,1990,2.24531005871629
Corea del Sur,1991,2.29558802174701
Corea del Sur,1992,2.35905983571375
Corea del Sur,1993,2.58870484981133
Corea del Sur,1994,2.60869658714986
Corea del Sur,1995,2.80778551338857
Corea del Sur,1996,2.682468859539
Corea del Sur,1997,2.67077894352514
Corea del Sur,1998,2.51757111618846
Corea del Sur,1999,2.79467739575892
Corea del Sur,2000,3.1696750660242397
Corea del Sur,2001,2.9120666309453003
Corea del Sur,2002,2.96797999936048
Corea del Sur,2003,3.14262088058734
Corea del Sur,2004,3.38800066446292
Corea del Sur,2005,3.3967302077643797
Corea del Sur,2006,3.5021632598645605
Corea del Sur,2007,3.3533676662058496
Corea del Sur,2008,3.3939328726018703
Corea del Sur,2009,3.60390848859727
Corea del Sur,2010,3.8322163981357398
Corea del Sur,2011,3.85110164962731
Corea del Sur,2012,3.95533463569703
Corea del Sur,2013,3.94314655883072
Corea del Sur,2014,3.8908520588448905
Corea del Sur,2015,3.98812594740129
Corea del Sur,2016,3.85940592250667
Corea del Sur,2017,3.96626433184475
Corea del Sur,2018,3.86748462123402
Corea del Sur,2019,3.63685853554326
Corea del Sur,2020,3.70394833104784
Corea del Sur,2021,3.68975721867389
Corea del Sur,2022,3.8150627520288403
