anio,vab_indust_pc_indice
1970,100
1971,104.484321611419
1972,106.975242645898
1973,109.434569920234
1974,113.972764499603
1975,109.291824687951
1976,104.33022911797
1977,110.714928839288
1978,97.4934606087673
1979,105.72219760109
1980,100.086862711266
1981,86.7914287540637
1982,83.0297356992221
1983,87.718277999124
1984,88.6002492498403
1985,78.6324542228259
1986,86.120753080124
1987,85.6649696046665
1988,80.6434708749968
1989,73.4028987242179
1990,69.4770670623151
1991,75.4891204705232
1992,83.1682866722183
1993,85.854907320705
1994,88.5491997464825
1995,81.2019464138747
1996,85.2687114172609
1997,91.9378662452462
1998,92.6153100554541
1999,84.2954294764508
2000,80.1754466646347
2001,73.5175974813292
2002,64.6180087271223
2003,74.1656442172908
2004,82.2568815119242
2005,87.4596949206978
2006,94.4422329392385
2007,100.555913407474
2008,103.147069865545
2009,94.650359120049
2010,103.871687030702
2011,110.650686550598
2012,106.328735276129
2013,106.86105203994
2014,100.418815998898
2015,100.133785886009
2016,93.613710605049
2017,95.1809053870708
2018,89.8649241205352
2019,83.7349494591035
2020,76.9166370876846
2021,88.8098622824229
2022,92.8125519894362
2023,90.6620316042145
2024,82.3855339606885
