pais,anio,gdp_indust_pc_indice
Argentina,1970,100
Argentina,1971,104.484321611419
Argentina,1972,106.975242645898
Argentina,1973,109.434569920234
Argentina,1974,113.972764499603
Argentina,1975,109.291824687951
Argentina,1976,104.33022911797
Argentina,1977,110.714928839288
Argentina,1978,97.4934606087673
Argentina,1979,105.72219760109
Argentina,1980,100.086862711266
Argentina,1981,86.7914287540637
Argentina,1982,83.0297356992221
Argentina,1983,87.718277999124
Argentina,1984,88.6002492498403
Argentina,1985,78.6324542228259
Argentina,1986,86.120753080124
Argentina,1987,85.6649696046665
Argentina,1988,80.6434708749968
Argentina,1989,73.4028987242179
Argentina,1990,69.4770670623151
Argentina,1991,75.4891204705232
Argentina,1992,83.1682866722183
Argentina,1993,85.854907320705
Argentina,1994,88.5491997464825
Argentina,1995,81.2019464138747
Argentina,1996,85.2687114172609
Argentina,1997,91.9378662452462
Argentina,1998,92.6153100554541
Argentina,1999,84.2954294764508
Argentina,2000,80.1754466646347
Argentina,2001,73.5175974813292
Argentina,2002,64.6180087271223
Argentina,2003,74.1656442172908
Argentina,2004,82.2568815119242
Argentina,2005,87.4596949206978
Argentina,2006,94.4422329392385
Argentina,2007,100.555913407474
Argentina,2008,103.147069865545
Argentina,2009,94.650359120049
Argentina,2010,103.871687030702
Argentina,2011,110.650686550598
Argentina,2012,106.328735276129
Argentina,2013,106.86105203994
Argentina,2014,100.418815998898
Argentina,2015,100.133785886009
Argentina,2016,93.613710605049
Argentina,2017,95.1809053870708
Argentina,2018,89.8649241205352
Argentina,2019,83.7349494591035
Argentina,2020,76.9166370876846
Argentina,2021,88.8098622824229
Argentina,2022,92.8125519894362
Argentina,2023,90.6620316042145
Argentina,2024,82.3855339606885
Corea del Sur,1970,100
Corea del Sur,1971,114.848150912883
Corea del Sur,1972,129.449098848826
Corea del Sur,1973,165.56065820018
Corea del Sur,1974,189.340622095539
Corea del Sur,1975,210.113586078948
Corea del Sur,1976,250.941132199785
Corea del Sur,1977,288.54529618075
Corea del Sur,1978,357.627414704979
Corea del Sur,1979,390.809837723344
Corea del Sur,1980,381.751033397715
Corea del Sur,1981,411.995118512948
Corea del Sur,1982,426.805680374004
Corea del Sur,1983,492.034842159489
Corea del Sur,1984,582.298958793299
Corea del Sur,1985,616.553036296937
Corea del Sur,1986,708.656024791399
Corea del Sur,1987,840.518155831663
Corea del Sur,1988,941.67072839244
Corea del Sur,1989,970.249317547891
Corea del Sur,1990,1067.69153984811
Corea del Sur,1991,1211.87750720732
Corea del Sur,1992,1282.07360608356
Corea del Sur,1993,1367.72590182773
Corea del Sur,1994,1522.29690085858
Corea del Sur,1995,1717.19838793548
Corea del Sur,1996,1857.86483648324
Corea del Sur,1997,1959.4942978288
Corea del Sur,1998,1804.6950755196401
Corea del Sur,1999,2145.11162716555
Corea del Sur,2000,2472.38472436849
Corea del Sur,2001,2529.54023198188
Corea del Sur,2002,2748.39396372283
Corea del Sur,2003,2866.77632459103
Corea del Sur,2004,3145.29666127423
Corea del Sur,2005,3292.15851262275
